year,org_name,org_code,unit_main_code,unit_sub_code,unit_name
2016,Helsingin yliopisto,01901,,H50,Matemaattis- luonnontieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H55,Farmasian tiedekunta
2016,Helsingin yliopisto,01901,,H57,Bio- ja ympäristötieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H60,Käyttäytymistieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H70,Valtiotieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H74,Svenska social- och kommunalhögskolan
2016,Helsingin yliopisto,01901,,H80,Maatalous- metsätieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H90,Eläinlääketieteellinen tiedekunta
2016,Helsingin yliopisto,01901,,H903,Tila- ja kiinteistökeskus
2016,Helsingin yliopisto,01901,,H906,Kielikeskus
2016,Helsingin yliopisto,01901,,H907,Tietotekniikkakeskus
2016,Helsingin yliopisto,01901,,H909,UniSport
2016,Helsingin yliopisto,01901,,H916,Neurotieteen tutkimuskeskus
2016,Helsingin yliopisto,01901,,H918,Tutkijakollegium
2016,Helsingin yliopisto,01901,,H919,Biotekniikan instituutti
2016,Helsingin yliopisto,01901,,H92,Helsingin yliopiston tutkijakoulut
2016,Helsingin yliopisto,01901,,H930,Avoin yliopisto
2016,Helsingin yliopisto,01901,,H945,Suomen molekyylilääketieteen instituutti
2016,Helsingin yliopisto,01901,,H955,Helsingin yliopiston koe-eläinkeskus
2016,Helsingin yliopisto,01901,,H960,Helsingin yliopiston koulutus- ja kehittämispalvelut
2016,Helsingin yliopisto,01901,,H97,Helsinki Institute of Life Science
2016,Helsingin yliopisto,01901,,H978,Luonnontieteellinen keskusmuseo
2016,Helsingin yliopisto,01901,,H981,Kansalliskirjasto
2016,Helsingin yliopisto,01901,,H985,Helsingin yliopiston kirjasto
2016,Humanistinen ammattikorkeakoulu,02631,,10,Taiteet ja kulttuurialat
2016,Humanistinen ammattikorkeakoulu,02631,,20,Terveys- ja hyvinvointialat
2016,Humanistinen ammattikorkeakoulu,02631,,30,Humanistiset alat
2016,Humanistinen ammattikorkeakoulu,02631,,50,Yhteiset
2016,Hämeen ammattikorkeakoulu,02467,,1,Yhteiset palvelut
2016,Hämeen ammattikorkeakoulu,02467,,11,Yrittäjyys ja liiketoimintaosaaminen
2016,Hämeen ammattikorkeakoulu,02467,,4,Ammatillinen opettajakorkeakoulu
2016,Hämeen ammattikorkeakoulu,02467,,6,Hyvinvointiosaaminen
2016,Hämeen ammattikorkeakoulu,02467,,7,Teknologiaosaaminen
2016,Hämeen ammattikorkeakoulu,02467,,8,Biotalous
2016,Itä-Suomen yliopisto,10088,200000,202010,Kasvatustieteiden ja psykologian osasto / Yhteiset
2016,Itä-Suomen yliopisto,10088,100000,100000,"Yliopiston johto, yhteiset ja yliopistopalvelut"
2016,Itä-Suomen yliopisto,10088,200000,200010,Filosofisen tiedekunnan hallinto / Yhteiset
2016,Itä-Suomen yliopisto,10088,200000,201010,Humanistinen osasto / Yhteiset
2016,Itä-Suomen yliopisto,10088,200000,201020,Humanistinen osasto / Suomen kieli ja kulttuuritieteet
2016,Itä-Suomen yliopisto,10088,200000,201030,Humanistinen osasto / Vieraat kielet ja käännöstiede
2016,Itä-Suomen yliopisto,10088,200000,202020,Kasvatustieteiden ja psykologian osasto / Erityispedagogiikka
2016,Itä-Suomen yliopisto,10088,200000,202030,"Kasvatustieteiden ja psykologian osasto / Kasvatustiede, aikuiskasvatus ja ohjaus"
2016,Itä-Suomen yliopisto,10088,200000,202040,Kasvatustieteiden ja psykologian osasto / Psykologia
2016,Itä-Suomen yliopisto,10088,200000,203010,Soveltavan kasvatustieteen ja opettajankoulutuksen osasto / Yhteiset
2016,Itä-Suomen yliopisto,10088,200000,203020,Soveltavan kasvatustieteen ja opettajankoulutuksen osasto / Joensuu
2016,Itä-Suomen yliopisto,10088,200000,203030,Soveltavan kasvatustieteen ja opettajankoulutuksen osasto / Savonlinna
2016,Itä-Suomen yliopisto,10088,200000,204010,Teologian osasto / Yhteiset
2016,Itä-Suomen yliopisto,10088,200000,204020,Teologian osasto / Läntinen teologia
2016,Itä-Suomen yliopisto,10088,200000,204030,Teologian osasto / Ortodoksinen teologia
2016,Itä-Suomen yliopisto,10088,200000,205010,Harjoittelukoulut / Joensuu
2016,Itä-Suomen yliopisto,10088,200000,205020,Harjoittelukoulut / Savonlinna
2016,Itä-Suomen yliopisto,10088,300000,300010,Luonnontieteiden ja metsätieteiden tiedekunnan hallinto / Yhteiset
2016,Itä-Suomen yliopisto,10088,300000,303010,Fysiikan ja matematiikan laitos
2016,Itä-Suomen yliopisto,10088,300000,303510,Sovelletun fysiikan laitos
2016,Itä-Suomen yliopisto,10088,300000,304010,Kemian laitos
2016,Itä-Suomen yliopisto,10088,300000,305010,Metsätieteiden osasto
2016,Itä-Suomen yliopisto,10088,300000,306020,Tietojenkäsittelytieteen laitos
2016,Itä-Suomen yliopisto,10088,300000,307010,Ympäristö- ja biotieteiden laitos
2016,Itä-Suomen yliopisto,10088,300000,308010,SIB-labs -infrastruktuuriyksikkö
2016,Itä-Suomen yliopisto,10088,300000,309010,Mekrijärven tutkimusasema
2016,Itä-Suomen yliopisto,10088,400000,400010,Terveystieteiden tiedekunnan hallinto / Yhteiset
2016,Itä-Suomen yliopisto,10088,400000,401010,A.I. Virtanen -instituutti / Yhteiset
2016,Itä-Suomen yliopisto,10088,400000,401020,A.I. Virtanen -instituutti / Bioteknologia ja molekulaarinen lääketiede
2016,Itä-Suomen yliopisto,10088,400000,401030,A.I. Virtanen -instituutti / Neurobiologia
2016,Itä-Suomen yliopisto,10088,400000,402010,Farmasian laitos
2016,Itä-Suomen yliopisto,10088,400000,403010,Hoitotieteen laitos
2016,Itä-Suomen yliopisto,10088,400000,404010,Lääketieteen laitos / Yhteiset
2016,Itä-Suomen yliopisto,10088,400000,404020,Lääketieteen laitos / Biolääketiede
2016,Itä-Suomen yliopisto,10088,400000,404030,Lääketieteen laitos / Kansanterveystiede ja kliininen ravitsemustiede
2016,Itä-Suomen yliopisto,10088,400000,404040,Lääketieteen laitos / Kliininen lääketiede
2016,Itä-Suomen yliopisto,10088,400000,404050,Lääketieteen laitos / Hammaslääketiede
2016,Itä-Suomen yliopisto,10088,400000,405010,Koe-eläinkeskus
2016,Itä-Suomen yliopisto,10088,500000,500010,Yhteiskuntatieteiden ja kauppatieteiden tiedekunnan hallinto / Yhteiset
2016,Itä-Suomen yliopisto,10088,500000,501010,Historia- ja maantieteiden laitos
2016,Itä-Suomen yliopisto,10088,500000,502010,Kauppatieteiden laitos
2016,Itä-Suomen yliopisto,10088,500000,503010,Oikeustieteiden laitos
2016,Itä-Suomen yliopisto,10088,500000,504010,Sosiaali- ja terveysjohtamisen laitos
2016,Itä-Suomen yliopisto,10088,500000,505010,Yhteiskuntatieteiden laitos
2016,Itä-Suomen yliopisto,10088,500000,506010,Karjalan tutkimuslaitos
2016,Itä-Suomen yliopisto,10088,500000,507010,Matkailualan opetus- ja tutkimuslaitos
2016,Itä-Suomen yliopisto,10088,600000,600000,Itä-Suomen yliopiston apteekki
2016,Itä-Suomen yliopisto,10088,700000,700000,Koulutus- ja kehittämispalvelu Aducate
2016,Itä-Suomen yliopisto,10088,800000,800010,Kielikeskus
2016,Itä-Suomen yliopisto,10088,800000,800020,Kirjasto
2016,Jyväskylän ammattikorkeakoulu,02504,,1,Ammatillinen opettajakorkeakoulu
2016,Jyväskylän ammattikorkeakoulu,02504,,2,Hyvinvointiyksikkö
2016,Jyväskylän ammattikorkeakoulu,02504,,3,Liiketoimintayksikkö
2016,Jyväskylän ammattikorkeakoulu,02504,,4,Teknologiayksikkö
2016,Jyväskylän ammattikorkeakoulu,02504,,5,Hallintoyksikkö
2016,Jyväskylän yliopisto,01906,,219100,Agora Center
2016,Jyväskylän yliopisto,01906,,219110,Avoin yliopisto
2016,Jyväskylän yliopisto,01906,,219200,Kirjasto
2016,Jyväskylän yliopisto,01906,,219120,Kokkolan yliopistokeskus Chydenius
2016,Jyväskylän yliopisto,01906,,219140,Koulutuksen tutkimuslaitos
2016,Jyväskylän yliopisto,01906,,219230,Tiedemuseo
2016,Jyväskylän yliopisto,01906,,219220,Yliopiston kielikeskus
2016,Jyväskylän yliopisto,01906,,219700,Johto ja yliopiston yhteiset
2016,Jyväskylän yliopisto,01906,,219500,Yliopistopalvelut
2016,Jyväskylän yliopisto,01906,,213000,Humanistinen tiedekunta
2016,Jyväskylän yliopisto,01906,213000,213050,Historian ja etnologian laitos
2016,Jyväskylän yliopisto,01906,213000,213040,Kielten laitos
2016,Jyväskylän yliopisto,01906,213000,213010,Musiikin laitos
2016,Jyväskylän yliopisto,01906,213000,213060,Soveltavan kielentutkimuksen keskus
2016,Jyväskylän yliopisto,01906,213000,213030,Taiteiden ja kulttuurin tutkimuksen laitos
2016,Jyväskylän yliopisto,01906,213000,213020,Viestintätieteiden laitos
2016,Jyväskylän yliopisto,01906,,217000,Informaatioteknologian tiedekunta
2016,Jyväskylän yliopisto,01906,217000,217010 ,Tietojenkäsittelytieteiden laitos
2016,Jyväskylän yliopisto,01906,217000,217020 ,Tietotekniikan laitos
2016,Jyväskylän yliopisto,01906,,216000,Kauppakorkeakoulu
2016,Jyväskylän yliopisto,01906,216000,216010,Avance Johtamiskoulutus
2016,Jyväskylän yliopisto,01906,,211000,Kasvatustieteiden tiedekunta
2016,Jyväskylän yliopisto,01906,211000,211010 ,Opettajankoulutuslaitos
2016,Jyväskylän yliopisto,01906,211000,211020,Kasvatustieteiden laitos
2016,Jyväskylän yliopisto,01906,,215000,Liikuntatieteellinen tiedekunta
2016,Jyväskylän yliopisto,01906,215000,215020,Liikuntabiologian laitos
2016,Jyväskylän yliopisto,01906,215000,215030,Liikuntakasvatuksen laitos
2016,Jyväskylän yliopisto,01906,215000,215010,Terveystieteiden laitos
